path,score,label
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\032.png,1879.399658203125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\033.png,1868.8583984375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\034.png,1931.4144287109375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\035.png,2181.2763671875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\036.png,3526.25830078125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\037.png,1852.2757568359375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\038.png,1968.5048828125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\039.png,1994.6524658203125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\040.png,1552.6337890625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\041.png,1909.6077880859375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\042.png,2009.597412109375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\043.png,2345.68212890625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\044.png,2244.7021484375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\045.png,1919.102783203125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\046.png,2541.140625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\047.png,2678.43505859375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\048.png,2066.15185546875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\049.png,2139.3173828125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\050.png,2885.68994140625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\051.png,1820.3792724609375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\052.png,1888.707275390625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\053.png,5830.71728515625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\054.png,2368.17431640625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\055.png,2298.927734375,0
